campaign_id,campaign_name,platform,date,impressions,clicks,cost,conversions,revenue,ctr,cpc,conversion_rate,roas,ad_type,audience_segment,device_type,region,bounce_rate,avg_session_duration,engagement_rate,ad_position
1001,Summer Sale,Unknown,"March 10, 2024",33144,1836,428.66,494.0,3697.13,5.54,0.23,26.91,8.62,Search Ad,,Deskotp,India,38.0,,30.0,Top
1002,!!!,Facebook Ads,15-02-2024,32780,1846,431.54,97.0,1834.94,5.63,0.23,5.25,4.25,Display Ad,New Users,Unknown,Unknown,20.0,2m 15s,39.0,Bottom
1003,,,,28847,3890,85.31,261.0,4562.69,13.48,0.02,6.71,53.48,search_add,Returning Customers,Mobile,Europe,38.0,,54.0,Side
1004,Summer Sale,Gogle Adz,15-02-2024,21367,4922,449.65,146.0,2968.74,23.04,0.09,2.97,6.6,,New Users,Mobl,India,34.0,N/A,43.0,
1005,Black Friday Deal,Google Ads,"March 10, 2024",36303,4947,176.97,313.0,3103.35,13.63,0.04,6.33,17.54,Video Ad,Returning Customers,Unknown,Unknown,31.0,3m 40s,38.0,NA
1006,Unknown_campaign,Facebook Ads,2024/04/05,45260,2811,475.5,163.0,1195.41,6.21,0.17,5.8,2.51,,,Unknown,Europe,38.0,2m 15s,43.0,Top
1007,!!!,google_ads,15-02-2024,46514,3797,335.74,380.0,2021.07,8.16,0.09,10.01,6.02,,,Deskotp,,30.0,N/A,33.0,Side
1008,,FB ads,15-02-2024,13357,3659,236.88,214.0,3458.58,27.39,0.06,5.85,14.6,Search Ad,Returning Customers,Desktop,,34.0,N/A,44.0,Bottom
1009,,FB ads,15-02-2024,42519,1180,211.85,346.0,2519.47,2.78,0.18,29.32,11.89,Display Ad,Returning Customers,Unknown,Unknown,33.0,2m 15s,34.0,
1010,!!!,,2024/04/05,11195,789,178.9,60.0,1562.29,7.05,0.23,7.6,8.73,,New Users,Desktop,,39.0,3m 40s,59.0,NA
1011,Holiday Offer,Facebook Ads,"March 10, 2024",44166,475,435.69,282.0,671.28,1.08,0.92,59.37,1.54,Display Ad,,Desktop,India,39.0,,33.0,Side
1012,!!!,Google Ads,15-02-2024,48609,130,64.76,157.0,4575.14,0.27,0.5,120.77,70.65,AdX,Returning Customers,,USA,31.0,3m 40s,44.0,
1013,Summer Sale,Gogle Adz,,24510,4607,319.88,115.0,2750.1,18.8,0.07,2.5,8.6,search_add,,Mobile,Europe,41.0,N/A,54.0,Bottom
1014,Holiday Offer,Unknown,2024-01-01,42218,3419,484.57,115.0,4520.32,8.1,0.14,3.36,9.33,search_add,unkown_segment,Deskotp,USA,24.0,,47.0,Bottom
1015,,Unknown,,48898,1328,232.03,234.0,931.6,2.72,0.17,17.62,4.01,,New Users,Deskotp,USA,32.0,3m 40s,45.0,Top
1016,Holiday Offer,google_ads,15-02-2024,34041,1880,210.9,265.0,4616.98,5.52,0.11,14.1,21.89,Search Ad,unkown_segment,Unknown,Unknown,34.0,2m 15s,42.0,Top
1017,Holiday Offer,Unknown,,40643,1216,430.8,229.0,4268.93,2.99,0.35,18.83,9.91,search_add,Returning Customers,Mobile,Europe,36.0,N/A,34.0,
1018,Unknown_campaign,google_ads,2024/04/05,26338,984,137.52,364.0,1144.6,3.74,0.14,36.99,8.32,,,Desktop,Europe,35.0,2m 15s,57.0,Side
1019,,Facebook Ads,,22513,792,400.36,32.0,1032.31,3.52,0.51,4.04,2.58,Video Ad,Returning Customers,Mobl,,37.0,3m 40s,47.0,
1020,!!!,Google Ads,2024-01-01,21400,1076,203.34,211.0,4250.9,5.03,0.19,19.61,20.91,AdX,,Mobile,Unknown,25.0,,51.0,NA
1021,,Google Ads,2024/04/05,18242,2438,163.59,353.0,4759.49,13.36,0.07,14.48,29.09,AdX,Returning Customers,Desktop,USA,22.0,3m 40s,35.0,Side
1022,Unknown_campaign,FB ads,2024-01-01,8882,4944,302.57,83.0,4426.35,55.66,0.06,1.68,14.63,AdX,Returning Customers,,,35.0,N/A,51.0,
1023,Summer Sale,Google Ads,2024/04/05,13283,4074,109.3,347.0,1426.21,30.67,0.03,8.52,13.05,,New Users,Mobl,,21.0,,53.0,Side
1024,Holiday Offer,google_ads,2024-01-01,16133,1218,394.38,336.0,4301.14,7.55,0.32,27.59,10.91,search_add,unkown_segment,Mobl,Unknown,49.0,N/A,39.0,Bottom
1025,Holiday Offer,Gogle Adz,2024-01-01,26803,4849,51.41,420.0,2821.67,18.09,0.01,8.66,54.89,Search Ad,unkown_segment,Deskotp,USA,38.0,2m 15s,43.0,NA
1026,Black Friday Deal,Google Ads,,26350,4244,111.13,40.0,4848.33,16.11,0.03,0.94,43.63,search_add,,,,30.0,N/A,31.0,NA
1027,,Gogle Adz,15-02-2024,40436,4851,87.02,111.0,1290.48,12.0,0.02,2.29,14.83,AdX,,Mobile,Unknown,45.0,3m 40s,44.0,Side
1028,Summer Sale,,15-02-2024,42015,1848,438.01,22.0,4242.85,4.4,0.24,1.19,9.69,,New Users,Desktop,,39.0,3m 40s,34.0,Side
1029,Black Friday Deal,Google Ads,15-02-2024,37525,3873,275.75,301.0,3924.36,10.32,0.07,7.77,14.23,search_add,,Desktop,Unknown,31.0,2m 15s,44.0,Side
1030,Black Friday Deal,Unknown,2024-01-01,5782,4092,185.95,261.0,3289.52,70.77,0.05,6.38,17.69,AdX,,Mobl,USA,29.0,N/A,38.0,NA
1031,Summer Sale,Unknown,"March 10, 2024",17831,773,330.54,12.0,4692.79,4.34,0.43,1.55,14.2,AdX,unkown_segment,Deskotp,Europe,43.0,N/A,59.0,
1032,Holiday Offer,FB ads,,22598,3550,455.93,372.0,1186.67,15.71,0.13,10.48,2.6,,New Users,Mobl,Unknown,43.0,N/A,41.0,NA
1033,Black Friday Deal,Facebook Ads,2024-01-01,35825,3008,293.29,400.0,949.26,8.4,0.1,13.3,3.24,search_add,,Mobl,USA,37.0,,51.0,
1034,Holiday Offer,Unknown,15-02-2024,33383,419,55.72,185.0,850.35,1.26,0.13,44.15,15.26,search_add,New Users,Mobile,Europe,37.0,,33.0,Bottom
1035,,Gogle Adz,2024-01-01,49071,1098,381.76,429.0,1451.36,2.24,0.35,39.07,3.8,search_add,New Users,Desktop,,26.0,N/A,31.0,Side
1036,,Gogle Adz,2024/04/05,22779,2090,468.81,418.0,2172.41,9.18,0.22,20.0,4.63,Display Ad,New Users,Mobile,,31.0,3m 40s,32.0,Top
1037,Summer Sale,Google Ads,,49831,2101,214.07,52.0,4159.58,4.22,0.1,2.48,19.43,AdX,Returning Customers,Desktop,Europe,30.0,N/A,58.0,Top
1038,Holiday Offer,google_ads,"March 10, 2024",49370,3393,393.82,19.0,827.19,6.87,0.12,0.56,2.1,AdX,unkown_segment,Mobile,Europe,35.0,N/A,59.0,Bottom
1039,Black Friday Deal,Unknown,,32026,2738,83.23,310.0,2072.21,8.55,0.03,11.32,24.9,,Returning Customers,Desktop,India,44.0,3m 40s,33.0,Side
1040,!!!,Google Ads,2024-01-01,9980,2437,342.56,32.0,2876.79,24.42,0.14,1.31,8.4,Search Ad,New Users,Mobile,USA,46.0,,42.0,Side
1041,!!!,Unknown,15-02-2024,49508,143,126.2,212.0,2315.8,0.29,0.88,148.25,18.35,Display Ad,New Users,Mobile,India,29.0,2m 15s,41.0,Top
